Day_ID;Week_Number;Day_Title;Somatic_Exercise_Title;Somatic_Exercise_Text;Neuro_Science_Why;Yoga_Philosophy;Haptic_Pattern;Duration_Seconds;Visual_Instruction
DAY_01;1;Mapování napětí;Somatický scan těla;Pohodlně se posaďte nebo lehněte. Zavřete oči a pomalu projděte pozorností tělo od palců u nohou až po temeno hlavy. Vnímejte, kde cítíte tlak, teplo nebo stažení.;Zaměření pozornosti na fyzické vjemy bez hodnocení snižuje reaktivitu amygdaly a zklidňuje osu hypotalamus-hypofýza-nadledviny. Mozek přestává čekat na hrozbu a přechází do režimu bezpečí.;Pratjáhára – stažení smyslů do vnitřního světa jako první krok sebepoznání.;SLOW_WAVE;300;Modrá vlna se pomalu rozšiřuje po obrazovce, jemná animace dechu doprovází sken tělem.
DAY_02;1;Tlačítko Reset;Fyziologické vzdechnutí;Udělejte dva rychlé nádechy nosem těsně za sebou, pak vydechněte dlouze ústy. Opakujte 5×. Klidně si zavřete oči a nechte vzduch sám odejít.;Dvojitý nádech nafoukne kolabované plicní sklípky a stimuluje bloudivý nerv ke zklidnění tepu. Prodloužený výdech aktivuje parasympatický nervový systém a snižuje hladinu kortizolu.;Pránájáma – vědomá práce s dechem jako brána k regulaci životní energie.;DEEP_SIGH;180;Tmavě modrý kruh se při nádechu nafukuje, při výdechu pomalu splývá dolů a mizí.
DAY_03;1;Pevné kořeny;Uzemnění přes chodidla;Stoupněte si naboso nebo se posaďte a pevně opřete chodidla o zem. Vnímejte tlak podlahy pod nohama – kde přesně cítíte kontakt. Zůstaňte tak 2 minuty a dýchejte normálně.;Propriocepce – vnímání polohy těla – přenáší signály přes míchu přímo do mozku a zkracuje dobu, za kterou nervový systém rozpozná bezpečí. Tlak chodidel aktivuje spodní část ostrovní kůry, která reguluje interoceptivní povědomí.;Pádahástásana – kontakt nohou se zemí jako symbol propojení s přítomným okamžikem.;GROUND_PULSE;240;Zelené kořeny vyrůstají zdola obrazovky a pomalu se rozvíjejí do středu.
DAY_04;1;Vnitřní termostat;Teplé ruce na hrudník;Zahřejte si dlaně třením o sebe, pak je přiložte na střed hrudníku. Vnímejte teplo pronikající do těla. Zavřete oči a s každým výdechem si říkejte: Jsem tady a jsem v bezpečí.;Teplo z dlaní stimuluje nervová zakončení v kůži a spouští uvolňování oxytocinu, hormonu klidu a propojení. Hrudní vagální větev bloudivého nervu reaguje na tepelné podněty zklidněním srdeční frekvence.;Ahimsa vůči sobě – neplnění se laskavostí je praxe, ne slabost.;HEART_WARM;300;Zlatě teplý kruh vychází ze středu obrazovky a pomalu pulsuje v rytmu dechu.
DAY_05;1;Zachvění strachu;Třesová odpověď TRE;Lehněte si na záda, ohněte kolena a přitáhněte chodidla k hýždím. Pomalu unávte svaly stehen, dokud nezačnou mírně třást. Nechte třas přirozeně plynout 2–3 minuty a pak se uvolněte.;Třas je přirozený neurologický mechanismus, kterým savci uvolňují napětí po stresové reakci. Aktivuje retikulární formaci v mozkovém kmeni a pomáhá svalům uvolnit nahromaděné myofasciální napětí.;Tapas – vědomé procházení nepohodlím jako cesta k transformaci a uvolnění.;TREMOR_RELEASE;360;Oranžové vlny vycházejí ze středu dolů, jako by tělo vydávalo napětí ven.
DAY_06;1;Pohled z výšky;Panoramatické vidění;Srovnejte záda a uvolněte čelist. Namísto zaostření na jeden bod nechte zrak rozostřit a vnímejte co nejvíc zorného pole najednou – jako byste se dívali na horizont. Vydržte 3 minuty.;Periferní vidění aktivuje ventrální vagální komplex – část nervového systému zodpovědnou za sociální bezpečí a klid. Mozek v tomto stavu přestává předvídat hrozby a přechází z predátorského do relaxačního režimu.;Drishti – vědomý pohled jako nástroj koncentrace a klidu mysli zároveň.;SOFT_GAZE;240;Mlhavé světle šedé pozadí s jemným rozostřením okrajů, střed mírně světlejší.
DAY_07;1;Celé já;Integrace prvního týdne;Udělejte krátký sken těla (jako DAY_01), pak pět fyziologických vzdechnutí (DAY_02). Na závěr přiložte teplé ruce na hrudník a v klidu se zeptejte: Co jsem tento týden ve svém těle objevil/a?;Opakování somatických praxí buduje interoceptivní inteligenci – schopnost číst signály těla. Každé vědomé opakování posiluje nervové dráhy v prefrontální kůře, která reguluje emoční reaktivitu.;Svadhyája – sebepoznání jako klíčová praxe na cestě ke svobodě.;GENTLE_PULSE;420;Jemně pulzující fialový kruh, který se pomalu proměňuje v bílé světlo ke konci.
DAY_08;2;Dech pro krizi;Krabicový dech;Nadechněte se nosem na 4 doby, zadržte dech na 4 doby, vydechněte ústy na 4 doby, zadržte na 4 doby. Opakujte 5 cyklů. Pokud se závrať, zkraťte na 3 doby.;Krabicový dech synchronizuje srdeční variabilitu a aktivuje prefrontální kůru, která tlumí amygdalu. Rovnoměrné rytmy dechu signalizují mozku, že hrozba pominula a systém se může uvolnit.;Pránájáma – dech jako vozidlo mezi vědomou vůlí a automatickými systémy těla.;BOX_BREATH;300;Čtverec se postupně vykresluje v modré barvě, každá strana odpovídá jedné fázi dechu.
DAY_09;2;Pomalejší svět;Prodloužený výdech;Nadechněte se nosem na 4 doby a vydechněte nosem na 8 dob. Zaměřte se na to, aby byl výdech skutečně plynulý a tichý. Opakujte po dobu 5 minut.;Výdech delší než nádech je nejrychlejší způsob, jak zvýšit aktivitu parasympatiku. Prodloužení výdechu stimuluje baroreceptory v aortě, které vysílají signál klidu přímo do mozkového kmene.;Apána – výdech jako uvolnění a odevzdání toho, co už nepotřebuji nést.;LONG_EXHALE;300;Tenká modrá čára se při výdechu pomalu prodlužuje a při nádechu se krátí.
DAY_10;2;Zakotvený dech;Brániční dýchání;Položte jednu ruku na hrudník a druhou na břicho. Při nádechu nechte břicho vystoupit dopředu tak, aby hrudník zůstal klidný. Vydechněte a nechte břicho klesnout. Cvičte 5 minut.;Brániční dýchání maximalizuje aktivaci bloudivého nervu přes jeho větve spojené s bránicí. Hluboké břišní dechy snižují dechovou frekvenci a výrazně zvyšují srdeční variabilitu, klíčový ukazatel emoční regulace.;Svástha – zdraví jako stav přebývání v sobě samém, ne absence symptomů.;BELLY_WAVE;360;Zelená vlna stoupá a klesá v pomalém rytmu, vizuálně znázorňuje pohyb bránice.
